l2label,l1label
Aerospace Engineering,Engineering Science
Bioengineering,Engineering Science
Chemistry,Natural Science
Civil Engineering,Engineering Science
Computer Science,Engineering Science
Earth Science,Natural Science
Electrical Engineering,Engineering Science
Energy Engineering,Engineering Science
Humanities,Humanities and Social Science
Industrial Engineering,Engineering Science
Life Science,Natural Science
Maritime Engineering,Engineering Science
Materials Engineering,Engineering Science
Materials Science,Engineering Science
Mathematics,Natural Science
Mechanical Engineering,Engineering Science
Physics,Natural Science
Process Engineering,Engineering Science
Social and Behavioural Science,Humanities and Social Science
Systems Engineering,Engineering Science
